handle,threshold,ari,f1,am,hm,hm2,time
ru_train_model_setu4993_LEALLA-large,0.1,0.051,0.394,0.2225,0.09,0.062,446.654
ru_train_model_setu4993_LEALLA-large,0.2,0.051,0.299,0.175,0.087,0.061,446.705
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_no-pooling,0.5,0.086,0.079,0.0825,0.082,0.085,429.058
ru_train_model_setu4993_LEALLA-large,0.3,0.051,0.174,0.1125,0.079,0.059,445.646
ru_train_model_setu4993_LEALLA-large_clusterings_5_cosine,0.4,0.097,0.066,0.0815,0.079,0.089,430.841
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_no-pooling,0.5,0.076,0.078,0.077,0.077,0.076,432.166
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine,0.5,0.097,0.057,0.077,0.072,0.085,456.746
ru_train_model_setu4993_LEALLA-large_clusterings_5,0.4,0.077,0.068,0.0725,0.072,0.075,452.053
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_non-greedy,0.5,0.079,0.064,0.0715,0.071,0.075,431.094
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means,0.5,0.077,0.061,0.069,0.068,0.073,453.945
ru_train_parallel_Labse_0.6_Cluster_Cosine-5-Mean_NonGreedy,0.6,0.140698134,0.039985159,0.090341646,0.062,0.094,
ru_train_model_setu4993_LEALLA-large,0.4,0.051,0.068,0.0595,0.058,0.054,445.503
ru_train_model_setu4993_LEALLA-large_clusterings_5_cosine,0.5,0.097,0.024,0.0605,0.038,0.06,430.219
ru_train_model_setu4993_LEALLA-large_clusterings_5,0.5,0.077,0.022,0.0495,0.034,0.051,453.533
ru_train_model_setu4993_LEALLA-large,0.5,0.051,0.022,0.0365,0.031,0.04,446.934
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_no-pooling,0.6,0.086,0.014,0.05,0.024,0.042,433.456
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_no-pooling,0.6,0.076,0.014,0.045,0.024,0.04,430.647
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means,0.6,0.077,0.01,0.0435,0.018,0.033,458.48
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_non-greedy,0.6,0.077,0.01,0.0435,0.018,0.033,430.665
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine,0.6,0.097,0.009,0.053,0.016,0.033,451.9
ru_train_model_setu4993_LEALLA-large_clusterings_5_cosine,0.6,0.097,0.003,0.05,0.006,0.013,430.485
ru_train_model_setu4993_LEALLA-large_clusterings_5,0.6,0.077,0.002,0.0395,0.004,0.009,454.479
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means,0.7,0.077,0.002,0.0395,0.004,0.009,451.347
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_non-greedy,0.7,0.077,0.002,0.0395,0.004,0.009,429.165
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_no-pooling,0.7,0.076,0.002,0.039,0.004,0.009,429.825
ru_train_model_setu4993_LEALLA-large,0.6,0.051,0.002,0.0265,0.004,0.009,444.605
ru_train_rubert_Labse_0.8_Cluster_Cosine-5-Mean_NonGreedy,0.8,0.152977256,0.001352814,0.077165035,0.003,0.007,
ru_train_parallel_Labse_0.7_Cluster_Cosine-5-Mean_NonGreedy,0.7,0.140698134,0.001352814,0.071025474,0.003,0.007,
ru_train_rubert_Labse_0.9_Cluster_Cosine-5-Mean_NonGreedy,0.9,0.152977256,0.001082251,0.077029754,0.002,0.005,
ru_train_rubert_Labse_1.0_Cluster_Cosine-5-Mean_NonGreedy,1,0.152977256,0.001082251,0.077029754,0.002,0.005,
ru_train_parallel_Labse_0.8_Cluster_Cosine-5-Mean_NonGreedy,0.8,0.140698134,0.001082251,0.070890192,0.002,0.005,
ru_train_parallel_Labse_0.9_Cluster_Cosine-5-Mean_NonGreedy,0.9,0.140698134,0.001082251,0.070890192,0.002,0.005,
ru_train_parallel_Labse_1.0_Cluster_Cosine-5-Mean_NonGreedy,1,0.140698134,0.001082251,0.070890192,0.002,0.005,
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine,0.7,0.097,0.001,0.049,0.002,0.005,455.37
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine,0.8,0.097,0.001,0.049,0.002,0.005,455.997
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine,0.9,0.097,0.001,0.049,0.002,0.005,456.859
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine,1,0.097,0.001,0.049,0.002,0.005,455.3
ru_train_model_setu4993_LEALLA-large_clusterings_5_cosine,0.7,0.097,0.001,0.049,0.002,0.005,430.176
ru_train_model_setu4993_LEALLA-large_clusterings_5_cosine,0.8,0.097,0.001,0.049,0.002,0.005,431.459
ru_train_model_setu4993_LEALLA-large_clusterings_5_cosine,0.9,0.097,0.001,0.049,0.002,0.005,433.748
ru_train_model_setu4993_LEALLA-large_clusterings_5_cosine,1,0.097,0.001,0.049,0.002,0.005,426.705
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_no-pooling,0.7,0.086,0.001,0.0435,0.002,0.005,432.974
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_no-pooling,0.8,0.086,0.001,0.0435,0.002,0.005,434.571
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_no-pooling,0.9,0.086,0.001,0.0435,0.002,0.005,432.353
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_no-pooling,1,0.086,0.001,0.0435,0.002,0.005,431.135
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_no-pooling_non-greedy,0,0.086,0.001,0.0435,0.002,0.005,314.737
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_no-pooling_non-greedy,0.1,0.086,0.001,0.0435,0.002,0.005,315.076
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_no-pooling_non-greedy,0.2,0.086,0.001,0.0435,0.002,0.005,314.013
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_no-pooling_non-greedy,0.3,0.086,0.001,0.0435,0.002,0.005,313.833
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_no-pooling_non-greedy,0.4,0.086,0.001,0.0435,0.002,0.005,315.914
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_no-pooling_non-greedy,0.5,0.086,0.001,0.0435,0.002,0.005,319.901
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_no-pooling_non-greedy,0.6,0.086,0.001,0.0435,0.002,0.005,310.976
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_no-pooling_non-greedy,0.7,0.086,0.001,0.0435,0.002,0.005,314.29
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_no-pooling_non-greedy,0.8,0.086,0.001,0.0435,0.002,0.005,315.699
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_no-pooling_non-greedy,0.9,0.086,0.001,0.0435,0.002,0.005,314.713
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_no-pooling_non-greedy,1,0.086,0.001,0.0435,0.002,0.005,313.906
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_non-greedy,0,0.086,0.001,0.0435,0.002,0.005,386.477
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_non-greedy,0.1,0.086,0.001,0.0435,0.002,0.005,385.801
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_non-greedy,0.2,0.086,0.001,0.0435,0.002,0.005,384.478
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_non-greedy,0.3,0.086,0.001,0.0435,0.002,0.005,386.787
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_non-greedy,0.4,0.086,0.001,0.0435,0.002,0.005,385.988
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_non-greedy,0.5,0.086,0.001,0.0435,0.002,0.005,381.001
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_non-greedy,0.6,0.086,0.001,0.0435,0.002,0.005,390.17
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_non-greedy,0.7,0.086,0.001,0.0435,0.002,0.005,386.812
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_non-greedy,0.8,0.086,0.001,0.0435,0.002,0.005,385.583
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_non-greedy,0.9,0.086,0.001,0.0435,0.002,0.005,386.205
ru_train_model_setu4993_LEALLA-large_clusterings_5_cluster-means_cosine_non-greedy,1,0.086,0.001,0.0435,0.002,0.005,384.227
ru_train_model_setu4993_LEALLA-large_clusterings_5,0.7,0.077,0.001,0.039,0.002,0.005,455.828
ru_train_model_setu4993_LEALLA-large_clusterings_5,0.8,0.077,0.001,0.039,0.002,0.005,450.975
